DAY_KEY,FULL_DATE,DAY_OF_WEEK_NUMBER,DAY_OF_WEEK_NAME,MONTH_NUMBER,MONTH_NAME,YEAR,WEEK_IN_YEAR,DAY_IN_MONTH,WEEKDAY_FLAG
256,9/13/2010,2,Monday,9,September,2010,38,13,TRUE
257,9/14/2010,3,Tuesday,9,September,2010,38,14,TRUE
258,9/15/2010,4,Wednesday,9,September,2010,38,15,TRUE
259,9/16/2010,5,Thursday,9,September,2010,38,16,TRUE
260,9/17/2010,6,Friday,9,September,2010,38,17,TRUE
261,9/18/2010,7,Saturday,9,September,2010,38,18,FALSE
262,9/19/2010,1,Sunday,9,September,2010,39,19,FALSE
263,9/20/2010,2,Monday,9,September,2010,39,20,TRUE
264,9/21/2010,3,Tuesday,9,September,2010,39,21,TRUE
265,9/22/2010,4,Wednesday,9,September,2010,39,22,TRUE
266,9/23/2010,5,Thursday,9,September,2010,39,23,TRUE
267,9/24/2010,6,Friday,9,September,2010,39,24,TRUE
268,9/25/2010,7,Saturday,9,September,2010,39,25,FALSE
269,9/26/2010,1,Sunday,9,September,2010,40,26,FALSE
270,9/27/2010,2,Monday,9,September,2010,40,27,TRUE
271,9/28/2010,3,Tuesday,9,September,2010,40,28,TRUE
272,9/29/2010,4,Wednesday,9,September,2010,40,29,TRUE
273,9/30/2010,5,Thursday,9,September,2010,40,30,TRUE
274,10/1/2010,6,Friday,10,October,2010,40,1,TRUE
275,10/2/2010,7,Saturday,10,October,2010,40,2,FALSE
276,10/3/2010,1,Sunday,10,October,2010,41,3,FALSE
277,10/4/2010,2,Monday,10,October,2010,41,4,TRUE
278,10/5/2010,3,Tuesday,10,October,2010,41,5,TRUE
279,10/6/2010,4,Wednesday,10,October,2010,41,6,TRUE
280,10/7/2010,5,Thursday,10,October,2010,41,7,TRUE
281,10/8/2010,6,Friday,10,October,2010,41,8,TRUE
282,10/9/2010,7,Saturday,10,October,2010,41,9,FALSE
283,10/10/2010,1,Sunday,10,October,2010,42,10,FALSE
284,10/11/2010,2,Monday,10,October,2010,42,11,TRUE
285,10/12/2010,3,Tuesday,10,October,2010,42,12,TRUE
286,10/13/2010,4,Wednesday,10,October,2010,42,13,TRUE
287,10/14/2010,5,Thursday,10,October,2010,42,14,TRUE
288,10/15/2010,6,Friday,10,October,2010,42,15,TRUE
289,10/16/2010,7,Saturday,10,October,2010,42,16,FALSE
290,10/17/2010,1,Sunday,10,October,2010,43,17,FALSE
291,10/18/2010,2,Monday,10,October,2010,43,18,TRUE
292,10/19/2010,3,Tuesday,10,October,2010,43,19,TRUE
293,10/20/2010,4,Wednesday,10,October,2010,43,20,TRUE
294,10/21/2010,5,Thursday,10,October,2010,43,21,TRUE
295,10/22/2010,6,Friday,10,October,2010,43,22,TRUE
296,10/23/2010,7,Saturday,10,October,2010,43,23,FALSE
297,10/24/2010,1,Sunday,10,October,2010,44,24,FALSE
298,10/25/2010,2,Monday,10,October,2010,44,25,TRUE
299,10/26/2010,3,Tuesday,10,October,2010,44,26,TRUE
300,10/27/2010,4,Wednesday,10,October,2010,44,27,TRUE
301,10/28/2010,5,Thursday,10,October,2010,44,28,TRUE
302,10/29/2010,6,Friday,10,October,2010,44,29,TRUE
303,10/30/2010,7,Saturday,10,October,2010,44,30,FALSE
304,10/31/2010,1,Sunday,10,October,2010,45,31,FALSE
305,11/1/2010,2,Monday,11,November,2010,45,1,TRUE
306,11/2/2010,3,Tuesday,11,November,2010,45,2,TRUE
307,11/3/2010,4,Wednesday,11,November,2010,45,3,TRUE
308,11/4/2010,5,Thursday,11,November,2010,45,4,TRUE
309,11/5/2010,6,Friday,11,November,2010,45,5,TRUE
310,11/6/2010,7,Saturday,11,November,2010,45,6,FALSE
311,11/7/2010,1,Sunday,11,November,2010,46,7,FALSE
312,11/8/2010,2,Monday,11,November,2010,46,8,TRUE
313,11/9/2010,3,Tuesday,11,November,2010,46,9,TRUE
314,11/10/2010,4,Wednesday,11,November,2010,46,10,TRUE
315,11/11/2010,5,Thursday,11,November,2010,46,11,TRUE
316,11/12/2010,6,Friday,11,November,2010,46,12,TRUE
317,11/13/2010,7,Saturday,11,November,2010,46,13,FALSE
318,11/14/2010,1,Sunday,11,November,2010,47,14,FALSE
319,11/15/2010,2,Monday,11,November,2010,47,15,TRUE
320,11/16/2010,3,Tuesday,11,November,2010,47,16,TRUE
321,11/17/2010,4,Wednesday,11,November,2010,47,17,TRUE
322,11/18/2010,5,Thursday,11,November,2010,47,18,TRUE
323,11/19/2010,6,Friday,11,November,2010,47,19,TRUE
324,11/20/2010,7,Saturday,11,November,2010,47,20,FALSE
325,11/21/2010,1,Sunday,11,November,2010,48,21,FALSE
326,11/22/2010,2,Monday,11,November,2010,48,22,TRUE
327,11/23/2010,3,Tuesday,11,November,2010,48,23,TRUE
328,11/24/2010,4,Wednesday,11,November,2010,48,24,TRUE
329,11/25/2010,5,Thursday,11,November,2010,48,25,TRUE
330,11/26/2010,6,Friday,11,November,2010,48,26,TRUE
331,11/27/2010,7,Saturday,11,November,2010,48,27,FALSE
332,11/28/2010,1,Sunday,11,November,2010,49,28,FALSE
333,11/29/2010,2,Monday,11,November,2010,49,29,TRUE
334,11/30/2010,3,Tuesday,11,November,2010,49,30,TRUE
335,12/1/2010,4,Wednesday,12,December,2010,49,1,TRUE
336,12/2/2010,5,Thursday,12,December,2010,49,2,TRUE
337,12/3/2010,6,Friday,12,December,2010,49,3,TRUE
338,12/4/2010,7,Saturday,12,December,2010,49,4,FALSE
339,12/5/2010,1,Sunday,12,December,2010,50,5,FALSE
340,12/6/2010,2,Monday,12,December,2010,50,6,TRUE
341,12/7/2010,3,Tuesday,12,December,2010,50,7,TRUE
342,12/8/2010,4,Wednesday,12,December,2010,50,8,TRUE
343,12/9/2010,5,Thursday,12,December,2010,50,9,TRUE
344,12/10/2010,6,Friday,12,December,2010,50,10,TRUE
345,12/11/2010,7,Saturday,12,December,2010,50,11,FALSE
346,12/12/2010,1,Sunday,12,December,2010,51,12,FALSE
347,12/13/2010,2,Monday,12,December,2010,51,13,TRUE
348,12/14/2010,3,Tuesday,12,December,2010,51,14,TRUE
349,12/15/2010,4,Wednesday,12,December,2010,51,15,TRUE
350,12/16/2010,5,Thursday,12,December,2010,51,16,TRUE
351,12/17/2010,6,Friday,12,December,2010,51,17,TRUE
352,12/18/2010,7,Saturday,12,December,2010,51,18,FALSE
353,12/19/2010,1,Sunday,12,December,2010,52,19,FALSE
354,12/20/2010,2,Monday,12,December,2010,52,20,TRUE
355,12/21/2010,3,Tuesday,12,December,2010,52,21,TRUE
356,12/22/2010,4,Wednesday,12,December,2010,52,22,TRUE
357,12/23/2010,5,Thursday,12,December,2010,52,23,TRUE
358,12/24/2010,6,Friday,12,December,2010,52,24,TRUE
359,12/25/2010,7,Saturday,12,December,2010,52,25,FALSE
360,12/26/2010,1,Sunday,12,December,2010,53,26,FALSE
361,12/27/2010,2,Monday,12,December,2010,53,27,TRUE
362,12/28/2010,3,Tuesday,12,December,2010,53,28,TRUE
363,12/29/2010,4,Wednesday,12,December,2010,53,29,TRUE
364,12/30/2010,5,Thursday,12,December,2010,53,30,TRUE
365,12/31/2010,6,Friday,12,December,2010,53,31,TRUE
366,1/1/2011,7,Saturday,1,January,2011,1,1,FALSE
367,1/2/2011,1,Sunday,1,January,2011,2,2,FALSE
368,1/3/2011,2,Monday,1,January,2011,2,3,TRUE
369,1/4/2011,3,Tuesday,1,January,2011,2,4,TRUE
370,1/5/2011,4,Wednesday,1,January,2011,2,5,TRUE
371,1/6/2011,5,Thursday,1,January,2011,2,6,TRUE
372,1/7/2011,6,Friday,1,January,2011,2,7,TRUE
373,1/8/2011,7,Saturday,1,January,2011,2,8,FALSE
374,1/9/2011,1,Sunday,1,January,2011,3,9,FALSE
375,1/10/2011,2,Monday,1,January,2011,3,10,TRUE
376,1/11/2011,3,Tuesday,1,January,2011,3,11,TRUE
377,1/12/2011,4,Wednesday,1,January,2011,3,12,TRUE
378,1/13/2011,5,Thursday,1,January,2011,3,13,TRUE
379,1/14/2011,6,Friday,1,January,2011,3,14,TRUE
380,1/15/2011,7,Saturday,1,January,2011,3,15,FALSE
381,1/16/2011,1,Sunday,1,January,2011,4,16,FALSE
382,1/17/2011,2,Monday,1,January,2011,4,17,TRUE
383,1/18/2011,3,Tuesday,1,January,2011,4,18,TRUE
